Time(s), Shift_Y(pixels)
42.3000, -0.058779
42.3333, -0.086603
42.3667, -0.099452
42.4000, -0.095106
42.4333, -0.074314
42.4667, -0.040674
42.5000, -0.000000
42.5333, 0.040674
42.5667, 0.074314
42.6000, 0.095106
42.6333, 0.099452
42.6667, 0.086603
42.7000, 0.058779
42.7333, 0.020791
42.7667, -0.020791
42.8000, -0.058779
42.8333, -0.086603
42.8667, -0.099452
42.9000, -0.095106
42.9333, -0.074314
42.9667, -0.040674
43.0000, -0.000000
43.0333, 0.040674
43.0667, 0.074314
43.1000, 0.095106
43.1333, 0.099452
43.1667, 0.086603
43.2000, 0.058779
43.2333, 0.020791
43.2667, -0.020791
43.3000, -0.058779
43.3333, -0.086603
43.3667, -0.099452
43.4000, -0.095106
43.4333, -0.074314
43.4667, -0.040674
43.5000, -0.000000
43.5333, 0.040674
43.5667, 0.074314
43.6000, 0.095106
43.6333, 0.099452
43.6667, 0.086603
43.7000, 0.058779
43.7333, 0.020791
43.7667, -0.020791
43.8000, -0.058779
43.8333, -0.086603
43.8667, -0.099452
43.9000, -0.095106
43.9333, -0.074314
43.9667, -0.040674
44.0000, -0.000000
44.0333, 0.040674
44.0667, 0.074314
44.1000, 0.095106
44.1333, 0.099452
44.1667, 0.086603
44.2000, 0.058779
44.2333, 0.020791
44.2667, -0.020791
44.3000, -0.058779
44.3333, -0.086603
44.3667, -0.099452
44.4000, -0.095106
44.4333, -0.074314
44.4667, -0.040674
44.5000, 0.000000
44.5333, 0.040674
44.5667, 0.074314
44.6000, 0.095106
44.6333, 0.099452
44.6667, 0.086603
44.7000, 0.058779
44.7333, 0.020791
44.7667, -0.020791
44.8000, -0.058779
44.8333, -0.086603
44.8667, -0.099452
44.9000, -0.095106
44.9333, -0.074314
44.9667, -0.040674
45.0000, -0.000000
45.0333, 0.040674
45.0667, 0.074314
45.1000, 0.095106
45.1333, 0.099452
45.1667, 0.086603
45.2000, 0.058779
45.2333, 0.020791
45.2667, -0.020791
45.3000, -0.058779
45.3333, -0.086603
45.3667, -0.099452
45.4000, -0.095106
45.4333, -0.074314
45.4667, -0.040674
45.5000, -0.000000
45.5333, 0.040674
45.5667, 0.074314
45.6000, 0.095106
45.6333, 0.099452
45.6667, 0.086603
45.7000, 0.058779
45.7333, 0.020791
45.7667, -0.020791
45.8000, -0.058779
45.8333, -0.086603
45.8667, -0.099452
45.9000, -0.095106
45.9333, -0.074314
45.9667, -0.040674
46.0000, -0.000000
46.0333, 0.040674
46.0667, 0.074314
46.1000, 0.095106
46.1333, 0.099452
46.1667, 0.086603
46.2000, 0.058779
46.2333, 0.020791
46.2667, -0.020791
46.3000, -0.058779
46.3333, -0.086603
46.3667, -0.099452
46.4000, -0.095106
46.4333, -0.074314
46.4667, -0.040674
46.5000, -0.000000
46.5333, 0.040674
46.5667, 0.074314
46.6000, 0.095106
46.6333, 0.099452
46.6667, 0.086603
46.7000, 0.058779
46.7333, 0.020791
46.7667, -0.020791
46.8000, -0.058779
46.8333, -0.086603
46.8667, -0.099452
46.9000, -0.095106
46.9333, -0.074314
46.9667, -0.040674
47.0000, 0.000000
47.0333, 0.040674
47.0667, 0.074314
47.1000, 0.095106
47.1333, 0.099452
47.1667, 0.086603
47.2000, 0.058779
47.2333, 0.020791
47.2667, -0.020791
47.3000, -0.058779
47.3333, -0.086603
47.3667, -0.099452
47.4000, -0.095106
47.4333, -0.074314
47.4667, -0.040674
47.5000, -0.000000
47.5333, 0.040674
47.5667, 0.074314
47.6000, 0.095106
47.6333, 0.099452
47.6667, 0.086603
47.7000, 0.058779
47.7333, 0.020791
47.7667, -0.020791
47.8000, -0.058779
47.8333, -0.086603
47.8667, -0.099452
47.9000, -0.095106
47.9333, -0.074314
47.9667, -0.040674
48.0000, -0.000000
48.0333, 0.040674
48.0667, 0.074314
48.1000, 0.095106
48.1333, 0.099452
48.1667, 0.086603
48.2000, 0.058779
48.2333, 0.020791
48.2667, -0.020791
48.3000, -0.058779
48.3333, -0.086603
48.3667, -0.099452
48.4000, -0.095106
48.4333, -0.074314
48.4667, -0.040674
48.5000, -0.000000
48.5333, 0.040674
48.5667, 0.074314
48.6000, 0.095106
48.6333, 0.099452
48.6667, 0.086603
48.7000, 0.058779
48.7333, 0.020791
48.7667, -0.020791
48.8000, -0.058779
48.8333, -0.086603
48.8667, -0.099452
48.9000, -0.095106
48.9333, -0.074314
48.9667, -0.040674
49.0000, -0.000000
49.0333, 0.040674
49.0667, 0.074314
49.1000, 0.095106
49.1333, 0.099452
49.1667, 0.086603
49.2000, 0.058779
49.2333, 0.020791
49.2667, -0.020791
49.3000, -0.058779
49.3333, -0.086603
49.3667, -0.099452
49.4000, -0.095106
49.4333, -0.074314
49.4667, -0.040674
49.5000, 0.000000
49.5333, 0.040674
49.5667, 0.074314
49.6000, 0.095106
49.6333, 0.099452
49.6667, 0.086603
49.7000, 0.058779
49.7333, 0.020791
49.7667, -0.020791
49.8000, -0.058779
49.8333, -0.086603
49.8667, -0.099452
49.9000, -0.095106
49.9333, -0.074314
49.9667, -0.040674
50.0000, 0.000000
50.0333, 0.040674
50.0667, 0.074314
50.1000, 0.095106
50.1333, 0.099452
50.1667, 0.086603
50.2000, 0.058779
50.2333, 0.020791
50.2667, -0.020791
50.3000, -0.058779
50.3333, -0.086603
50.3667, -0.099452
50.4000, -0.095106
50.4333, -0.074314
50.4667, -0.040674
50.5000, -0.000000
50.5333, 0.040674
50.5667, 0.074314
50.6000, 0.095106
50.6333, 0.099452
50.6667, 0.086603
50.7000, 0.058779
50.7333, 0.020791
50.7667, -0.020791
50.8000, -0.058779
50.8333, -0.086603
50.8667, -0.099452
50.9000, -0.095106
50.9333, -0.074314
50.9667, -0.040674
51.0000, -0.000000
51.0333, 0.040674
51.0667, 0.074314
51.1000, 0.095106
51.1333, 0.099452
51.1667, 0.086603
51.2000, 0.058779
51.2333, 0.020791
51.2667, -0.020791
51.3000, -0.058779
51.3333, -0.086603
51.3667, -0.099452
51.4000, -0.095106
51.4333, -0.074314
51.4667, -0.040674
51.5000, -0.000000
51.5333, 0.040674
51.5667, 0.074314
51.6000, 0.095106
51.6333, 0.099452
51.6667, 0.086603
51.7000, 0.058779
51.7333, 0.020791
51.7667, -0.020791
51.8000, -0.058779
51.8333, -0.086603
51.8667, -0.099452
51.9000, -0.095106
51.9333, -0.074314
51.9667, -0.040674
52.0000, 0.000000
52.0333, 0.040674
52.0667, 0.074314
52.1000, 0.095106
52.1333, 0.099452
52.1667, 0.086603
52.2000, 0.058779
52.2333, 0.020791
52.2667, -0.020791
52.3000, -0.058779
52.3333, -0.086603
52.3667, -0.099452
52.4000, -0.095106
52.4333, -0.074314
52.4667, -0.040674
52.5000, 0.000000
52.5333, 0.040674
52.5667, 0.074314
52.6000, 0.095106
52.6333, 0.099452
52.6667, 0.086603
52.7000, 0.058779
52.7333, 0.020791
52.7667, -0.020791
52.8000, -0.058779
52.8333, -0.086603
52.8667, -0.099452
52.9000, -0.095106
52.9333, -0.074314
52.9667, -0.040674
53.0000, -0.000000
53.0333, 0.040674
53.0667, 0.074314
53.1000, 0.095106
53.1333, 0.099452
53.1667, 0.086603
53.2000, 0.058779
53.2333, 0.020791
53.2667, -0.020791
53.3000, -0.058779
53.3333, -0.086603
53.3667, -0.099452
53.4000, -0.095106
53.4333, -0.074314
53.4667, -0.040674
53.5000, -0.000000
53.5333, 0.040674
53.5667, 0.074314
53.6000, 0.095106
53.6333, 0.099452
53.6667, 0.086603
53.7000, 0.058779
53.7333, 0.020791
53.7667, -0.020791
53.8000, -0.058779
53.8333, -0.086603
53.8667, -0.099452
53.9000, -0.095106
53.9333, -0.074314
53.9667, -0.040674
54.0000, -0.000000
54.0333, 0.040674
54.0667, 0.074314
54.1000, 0.095106
54.1333, 0.099452
54.1667, 0.086603
54.2000, 0.058779
54.2333, 0.020791
54.2667, -0.020791
54.3000, -0.058779
54.3333, -0.086603
54.3667, -0.099452
54.4000, -0.095106
54.4333, -0.074314
54.4667, -0.040674
54.5000, -0.000000
54.5333, 0.040674
54.5667, 0.074314
54.6000, 0.095106
54.6333, 0.099452
54.6667, 0.086603
54.7000, 0.058779
54.7333, 0.020791
54.7667, -0.020791
54.8000, -0.058779
54.8333, -0.086603
54.8667, -0.099452
54.9000, -0.095106
54.9333, -0.074314
54.9667, -0.040674
55.0000, 0.000000
55.0333, 0.040674
55.0667, 0.074314
55.1000, 0.095106
55.1333, 0.099452
55.1667, 0.086603
55.2000, 0.058779
55.2333, 0.020791
55.2667, -0.020791
55.3000, -0.058779
55.3333, -0.086603
55.3667, -0.099452
55.4000, -0.095106
55.4333, -0.074314
55.4667, -0.040674
55.5000, -0.000000
55.5333, 0.040674
55.5667, 0.074314
55.6000, 0.095106
55.6333, 0.099452
55.6667, 0.086603
55.7000, 0.058779
55.7333, 0.020791
55.7667, -0.020791
55.8000, -0.058779
55.8333, -0.086603
55.8667, -0.099452
55.9000, -0.095106
55.9333, -0.074314
55.9667, -0.040674
56.0000, -0.000000
56.0333, 0.040674
56.0667, 0.074314
56.1000, 0.095106
56.1333, 0.099452
56.1667, 0.086603
56.2000, 0.058779
56.2333, 0.020791
56.2667, -0.020791
56.3000, -0.058779
56.3333, -0.086603
56.3667, -0.099452
56.4000, -0.095106
56.4333, -0.074314
56.4667, -0.040674
56.5000, -0.000000
56.5333, 0.040674
56.5667, 0.074314
56.6000, 0.095106
56.6333, 0.099452
56.6667, 0.086603
56.7000, 0.058779
56.7333, 0.020791
56.7667, -0.020791
56.8000, -0.058779
56.8333, -0.086603
56.8667, -0.099452
56.9000, -0.095106
56.9333, -0.074314
56.9667, -0.040674
57.0000, -0.000000
57.0333, 0.040674
57.0667, 0.074314
57.1000, 0.095106
57.1333, 0.099452
57.1667, 0.086603
57.2000, 0.058779
57.2333, 0.020791
57.2667, -0.020791
57.3000, -0.058779
57.3333, -0.086603
57.3667, -0.099452
57.4000, -0.095106
57.4333, -0.074314
57.4667, -0.040674
57.5000, 0.000000
57.5333, 0.040674
57.5667, 0.074314
57.6000, 0.095106
57.6333, 0.099452
57.6667, 0.086603
57.7000, 0.058779
57.7333, 0.020791
57.7667, -0.020791
57.8000, -0.058779
57.8333, -0.086603
57.8667, -0.099452
57.9000, -0.095106
57.9333, -0.074314
57.9667, -0.040674
58.0000, 0.000000
58.0333, 0.040674
58.0667, 0.074314
58.1000, 0.095106
58.1333, 0.099452
58.1667, 0.086603
58.2000, 0.058779
58.2333, 0.020791
58.2667, -0.020791
58.3000, -0.058779
58.3333, -0.086603
58.3667, -0.099452
58.4000, -0.095106
58.4333, -0.074314
58.4667, -0.040674
58.5000, -0.000000
58.5333, 0.040674
58.5667, 0.074314
58.6000, 0.095106
58.6333, 0.099452
58.6667, 0.086603
58.7000, 0.058779
58.7333, 0.020791
58.7667, -0.020791
58.8000, -0.058779
58.8333, -0.086603
58.8667, -0.099452
58.9000, -0.095106
58.9333, -0.074314
58.9667, -0.040674
59.0000, -0.000000
59.0333, 0.040674
59.0667, 0.074314
59.1000, 0.095106
59.1333, 0.099452
59.1667, 0.086603
59.2000, 0.058779
59.2333, 0.020791
59.2667, -0.020791
59.3000, -0.058779
59.3333, -0.086603
59.3667, -0.099452
59.4000, -0.095106
59.4333, -0.074314
59.4667, -0.040674
59.5000, -0.000000
59.5333, 0.040674
59.5667, 0.074314
59.6000, 0.095106
59.6333, 0.099452
59.6667, 0.086603
59.7000, 0.058779
59.7333, 0.020791
59.7667, -0.020791
59.8000, -0.058779
59.8333, -0.086603
59.8667, -0.099452
59.9000, -0.095106
59.9333, -0.074314
59.9667, -0.040674
